Entity;Code;Year;Government expenditure on education, total (% of GDP);Primary adjusted enrolment ratio (Lee-Lee (2016));Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018));Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates;Mean years of schooling, women (in reproductive age 15 to 49) (Our World In Data (2017));Population (historical estimates);Continent;Literacy rate, adult total (% of people ages 15 and above);;;
Trinidad and Tobago;TTO;1990;3,654129982;90;7,94;3,02521;8,824228;1266525;North America;96,93855286;;;
Trinidad and Tobago;TTO;2000;2,755650043;96,7;9,2;2,78248;10,06011;1332203;North America;97,90000153;;;
Tunisia;TUN;2010;6,254809856;100;6,7;1,84266;7,97294;10895063;Africa;79,13057709;;;
Turkey;TUR;1985;1,738109946;84;3,97;9,855761;3,843556;49175680;Asia;75,96823883;;;
Uganda;UGA;2010;1,734850049;100;5,7;7,6241403;5,288293;32341724;Africa;73,21188354;;;
Uruguay;URY;1985;2,566790104;91;6,86;3,00956;8,128854;3024214;South America;95,37998199;;;
Venezuela;VEN;1990;2,44671011;89;4,59;2,96068;5,508141;19750580;South America;89,82524872;;;
Zambia;ZMB;2010;3,700000048;100;6,6;7,8856497;6,887143;13792095;Africa;83,00766754;;;
Barbados;BRB;1970;;91;7,83;4,8015;8,7833;241402;North America;99,26808167;;;
Brazil;BRA;1980;;81;2,93;9,62034;3,031499;122288384;South America;74,58673096;;;
China;CHN;1990;;98;5,34;5,37737;6,552273;1153704192;Asia;77,78505707;;;
China;CHN;2000;;100;6,5;3,6797001;7,695204;1264099072;Asia;90,92021179;;;
Ecuador;ECU;1990;;88,5;6,44;5,40094;7,044354;10449845;South America;88,29875946;;;
Ghana;GHA;2000;;81,7;6,1;9,973101;6,097065;19665506;Africa;57,89746857;;;
Guatemala;GTM;1990;;66,4;3,05;8,08182;3,231375;9084779;North America;;;;
Guatemala;GTM;2000;;88,9;3,7;5,2114;3,987166;11735893;North America;;;;
Guatemala;GTM;2005;;98,9;3,5;4,38858;3,907641;13132818;North America;;;;
Guyana;GUY;1950;;100;4,05;15,27796;4,014675;417734;South America;;;;
Guyana;GUY;1955;;100;4,42;11,90697;4,213832;483327;South America;;;;
Guyana;GUY;1960;;95;4,58;9,174459;4,592846;571994;South America;;;;
Guyana;GUY;1965;;98,5;4,79;7,79963;4,92119;650215;South America;;;;
Guyana;GUY;1975;;84;5,37;7,2313104;5,814889;745593;South America;;;;
Guyana;GUY;1980;;88,4;5,82;6,9821296;6,348574;778187;South America;;;;
