Name;Code;Year;Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number)
Canada;CAN;1990;6205;3982;9065;7800;3315;8;1061;190;369;90;2301;50590;6277;7;71;1821;0;10
Cape Verde;CPV;1990;64;30;43;80;41;254;177;256;8;298;35;116;361;189;138;1;5;59
Central African Republic;CAF;1990;510;182;315;1843;332;6365;4290;7197;6;5848;340;1522;6304;4754;3357;44;68;1596
Chad;TCD;1990;845;384;792;948;637;15407;8844;26270;150;13472;508;1810;14265;11719;8508;25;229;3716
Chile;CHL;1990;3776;2060;2717;7029;1342;222;1554;613;1048;2030;798;9379;5789;166;252;1042;6;106
China;CHN;1990;626744;554484;134126;357337;207316;75817;253303;314550;52811;1329829;86522;1531775;1895767;59594;69012;88100;2949;62528
Colombia;COL;1990;7047;5989;3988;8072;1779;3265;10503;5937;1407;8161;2146;15278;15177;1679;1311;271;193;1526
Comoros;COM;1990;39;94;40;33;23;504;747;804;8;805;47;196;844;380;348;2;9;152
Congo;COG;1990;537;175;294;1204;300;3028;1964;2679;5;2816;301;1020;3347;2255;1582;70;79;593
Cook Islands;COK;1990;2;5;4;2;2;0;3;2;0;3;2;18;5;0;0;1;0;0
Costa Rica;CRI;1990;374;346;399;515;101;89;484;152;183;466;234;1328;837;42;61;28;4;34
Cote d'Ivoire;CIV;1990;2427;658;907;3286;506;10439;18719;18792;25;16674;620;3164;19082;7590;7592;254;128;3752
Croatia;HRV;1990;4682;6123;2968;4141;1223;7;238;19;1378;926;797;13012;5587;2;11;80;0;5
Cuba;CUB;1990;4685;1429;3768;2149;1260;386;721;196;1170;753;1476;14466;5432;204;334;93;7;63
Cyprus;CYP;1990;403;109;322;199;58;1;87;6;14;10;83;993;409;1;2;11;0;1
Czechia;CZE;1990;13200;15332;6638;7475;3445;7;590;45;3212;459;2749;29123;13622;1;25;441;0;10
Democratic Republic of Congo;COD;1990;5825;1342;2632;11042;2522;31698;39306;68088;47;58298;3212;11791;63860;23588;25522;488;340;9368
Denmark;DNK;1990;3766;1153;2818;3259;1439;4;141;14;1278;14;1121;17462;3769;3;20;326;0;2
Djibouti;DJI;1990;72;46;25;56;38;546;501;1081;14;371;21;142;443;407;312;2;15;157
Dominica;DMA;1990;24;15;32;27;1;3;14;6;2;37;8;46;61;2;4;1;0;1
Dominican Republic;DOM;1990;715;417;865;1665;165;2577;4724;3689;148;2819;519;2634;3527;1654;1199;64;197;1053
East Asia & Pacific (WB);;1990;792223;755103;210099;528615;297249;275997;495178;616795;73383;1741281;141653;2171939;2470576;206690;139031;110484;5542;113390
Eastern Mediterranean Region (WHO);;1990;167123;21227;102805;18994;34370;208692;435600;332059;37689;311410;29337;237678;473328;156608;83308;7917;4342;54890
Ecuador;ECU;1990;1767;855;972;1947;109;2014;3581;3347;505;1948;671;3284;3712;1311;987;83;75;642
Egypt;EGY;1990;58376;3013;18102;3042;5137;25660;40613;48662;9037;9546;770;32996;67593;23371;8083;521;720;12295
El Salvador;SLV;1990;749;546;567;2011;386;2004;2414;2031;38;2713;447;1261;3440;1386;751;55;69;630
England;;1990;36407;9076;30295;6497;13775;6;2162;193;19448;61;9376;148221;36387;1;326;1381;1;30
Equatorial Guinea;GNQ;1990;64;29;49;179;51;1151;661;1238;6;894;51;217;958;866;607;3;18;239
Eritrea;ERI;1990;436;407;160;687;258;6415;3214;11326;69;4608;217;972;5032;4899;3653;16;63;678
Estonia;EST;1990;713;260;1479;716;635;2;85;30;768;457;495;3504;1170;1;6;66;0;4
Eswatini;SWZ;1990;129;46;55;318;79;503;520;545;20;728;54;276;857;364;312;13;8;127
Ethiopia;ETH;1990;4355;8731;4857;18604;6954;96433;87377;163323;2845;121038;4449;13741;125109;74646;62459;504;760;10533
Europe & Central Asia (WB);;1990;622626;309584;514849;501232;193996;13647;105991;66406;194456;127278;103400;1629328;745765;10934;12788;42044;660;14463
European Region (WHO);;1990;627103;312367;518009;502397;194493;13734;106917;66633;194706;128366;103560;1639113;751288;10984;12806;42225;669;14556
Fiji;FJI;1990;83;141;230;66;187;103;151;93;15;500;128;738;583;62;25;17;1;8
Finland;FIN;1990;1365;1121;2882;1820;1263;4;127;7;1523;25;1187;8886;1389;3;28;317;0;1
France;FRA;1990;24225;6274;18979;49802;7952;119;1463;2532;4094;215;4828;85668;24269;72;211;2479;7;31
G20;;1990;1729558;1076589;842300;1253650;608857;1174104;1551561;1448216;314565;2663714;326467;4734586;4296582;892544;519419;197175;14476;211652
Gabon;GAB;1990;298;76;112;820;20;595;789;603;5;866;108;386;1164;435;401;10;13;148
Gambia;GMB;1990;134;43;61;143;81;609;1279;1314;1;1297;57;320;1428;455;490;2;6;116
Georgia;GEO;1990;4213;4160;5669;1836;1750;93;1051;734;1252;4711;838;9480;8907;75;104;196;9;198
Germany;DEU;1990;64678;19555;41372;78730;14912;27;2316;168;10711;128;16617;184466;64605;19;203;3672;1;20
Ghana;GHA;1990;3552;1023;1354;5427;830;22611;15681;23671;129;14435;964;3288;17951;16817;11256;97;276;3886
Greece;GRC;1990;7090;1968;6182;4424;410;0;451;20;537;308;98;21013;7362;1;20;144;0;3
Greenland;GRL;1990;8;6;12;39;6;0;18;1;1;2;3;105;10;0;0;5;0;0
Grenada;GRD;1990;35;18;42;32;9;4;20;10;7;50;20;52;86;3;8;1;0;1
Guam;GUM;1990;17;23;24;10;8;2;14;5;0;4;11;82;21;1;1;5;0;0
Guatemala;GTM;1990;1514;670;679;3686;471;8790;7457;11810;412;8341;493;2430;9838;6273;3935;158;160;1094
Guinea;GIN;1990;1274;445;523;894;276;10275;11731;20151;57;16407;413;2253;17655;7705;7661;16;111;2424
Guinea-Bissau;GNB;1990;183;81;85;461;102;1837;1837;2775;2;2073;109;307;2253;1377;1056;4;14;283
Guyana;GUY;1990;320;114;174;473;149;183;584;299;21;276;157;441;597;126;88;11;6;52
Haiti;HTI;1990;779;761;1534;2806;712;8536;6020;11827;50;11969;1131;2743;12706;6364;4585;115;183;3317
Honduras;HND;1990;402;396;357;1077;220;2564;2703;2331;225;2735;298;1551;3119;1965;533;72;79;759
Hungary;HUN;1990;11651;18716;7762;14146;3101;6;931;71;3902;4700;2163;31299;16250;5;16;249;0;16
Iceland;ISL;1990;32;38;107;20;43;0;12;1;40;1;43;388;32;0;1;9;0;0
India;IND;1990;322671;81961;108932;173975;128929;915902;972137;849262;70930;1040986;73653;637869;1332685;703320;380370;30233;5478;90848
Indonesia;IDN;1990;38990;51260;14703;12503;26964;107258;90424;127723;1707;130375;19765;112799;169174;81076;27124;2462;1218;19774
Iran;IRN;1990;25019;2230;15419;837;1560;3256;43805;12400;3916;5583;2896;25193;30463;2578;1513;1962;75;1995
Iraq;IRQ;1990;11299;799;5523;831;1424;1945;16423;5980;2675;4683;568;12219;15942;1289;578;218;72;1334
Ireland;IRL;1990;1534;488;1450;1112;840;0;135;12;818;24;581;9034;1552;1;20;58;0;1
Israel;ISR;1990;2314;573;2013;166;111;3;437;27;42;15;79;5708;2307;3;8;130;0;5
Italy;ITA;1990;42682;14382;32474;40625;4525;10;2116;133;6313;826;2427;105985;43048;7;95;6868;1;25
Jamaica;JAM;1990;388;263;397;226;161;195;752;334;22;1003;182;1105;1386;134;124;15;7;44
Japan;JPN;1990;31062;50276;20503;44022;16806;187;1677;541;8405;568;4811;174837;31556;79;1410;6125;3;40
Jordan;JOR;1990;1303;99;762;50;202;71;1849;390;89;45;137;1795;1342;35;57;21;4;90
Kazakhstan;KAZ;1990;8466;6619;9163;6879;4747;1079;3151;3652;3916;7157;1812;20427;15506;971;609;669;55;981
Kenya;KEN;1990;1698;1353;763;7747;1161;16435;15803;27146;452;21430;852;4685;23113;12267;11470;1369;217;4448
Kiribati;KIR;1990;8;18;26;19;20;65;49;66;4;125;18;155;133;46;15;6;1;5
Kuwait;KWT;1990;559;67;235;10;54;6;239;46;75;9;18;537;566;2;9;12;1;12
Kyrgyzstan;KGZ;1990;2086;1372;1889;1577;961;425;1881;1370;746;3776;248;4874;5745;365;274;190;14;358
Laos;LAO;1990;757;1447;388;1851;687;4412;6039;9869;328;10326;585;5104;11060;3410;2198;69;49;1604
Latin America & Caribbean (WB);;1990;105709;54633;68240;143156;31306;94378;180860;161219;19885;139632;38901;318536;244303;61138;44000;8813;5334;40400
Latvia;LVA;1990;2666;888;2963;1095;1130;5;129;33;1212;551;551;6010;3215;3;12;147;0;6
Lebanon;LBN;1990;1655;193;1748;341;37;77;1451;259;41;411;20;3742;2057;48;58;66;2;50
Lesotho;LSO;1990;357;129;114;800;265;2012;1855;1880;71;2098;155;1337;2445;1521;1185;44;23;397
Liberia;LBR;1990;419;162;205;955;187;3920;3250;6483;27;4238;192;644;4655;2884;2494;7;90;1002
Libya;LBY;1990;1331;113;846;54;144;205;2499;553;81;610;95;1667;1933;183;90;36;8;105
Lithuania;LTU;1990;2565;986;3409;1743;1134;8;192;38;1578;475;824;6560;3033;6;14;122;1;7
Luxembourg;LUX;1990;216;70;172;299;72;0;12;4;81;1;59;789;216;0;1;26;0;0
Madagascar;MDG;1990;873;2575;866;3383;1280;19166;13365;34662;390;20475;1282;5574;21343;14653;11166;88;332;3847
Malawi;MWI;1990;683;1367;442;2476;798;19291;13527;25481;46;16353;683;3154;17026;14536;10535;147;360;4648
Malaysia;MYS;1990;7070;4890;2514;2108;2152;687;2841;1257;33;830;2020;11824;7886;322;180;247;6;134
Maldives;MDV;1990;25;61;41;5;24;46;188;121;11;151;21;154;176;33;15;6;1;10
Mali;MLI;1990;1150;578;844;1323;839;20812;21063;30782;216;17820;683;1601;18936;15430;10050;27;328;3884
Malta;MLT;1990;186;69;211;62;59;0;25;1;37;4;37;547;189;0;1;9;0;0
Marshall Islands;MHL;1990;4;8;9;7;7;12;16;12;1;30;6;31;33;8;4;2;0;1
Mauritania;MRT;1990;635;164;289;150;282;2789;2730;3771;156;2538;218;653;3170;2114;1476;6;40;513
Mauritius;MUS;1990;371;553;340;327;287;30;255;68;75;151;188;1026;521;29;6;68;1;9
Mexico;MEX;1990;23192;4636;5915;28974;3380;17336;33186;32854;2967;16302;3637;35970;38895;9756;5546;1296;1055;6886
Micronesia (country);FSM;1990;14;22;27;29;21;28;38;35;4;106;19;133;119;19;9;5;0;4
Middle East & North Africa (WB);;1990;140163;11770;77193;9881;18177;63314;191875;127355;27598;62903;13257;141524;202206;50222;24388;4073;2025;29199
Moldova;MDA;1990;2848;772;2536;4628;1080;77;498;331;1374;3281;494;6153;6081;61;109;433;4;106
Monaco;MCO;1990;13;8;21;10;3;0;0;0;1;0;1;87;14;0;0;1;0;0
Mongolia;MNG;1990;847;715;852;786;647;589;1038;1840;463;2601;513;1954;3435;499;447;120;12;317
Montenegro;MNE;1990;440;518;196;420;73;1;67;8;77;197;12;995;635;0;1;12;0;2
Morocco;MAR;1990;7525;1300;9406;1275;2609;10145;20348;14613;3702;11326;2386;13526;18807;6067;4221;269;381;3997
Mozambique;MOZ;1990;640;2299;928;1357;1481;24226;18777;40719;169;25461;1080;4848;26092;18447;13799;101;339;5648
Myanmar;MMR;1990;11159;17332;5404;5011;10704;44794;40717;67225;314;85346;6789;70099;96038;34182;17380;2437;353;15677
Namibia;NAM;1990;339;110;179;484;195;863;984;947;80;1363;142;1006;1690;626;514;32;9;138
Nauru;NRU;1990;1;2;3;3;2;1;4;3;0;3;2;11;4;0;0;0;0;0
Nepal;NPL;1990;6412;956;1437;2080;1806;19930;30545;34588;1113;37545;1532;19908;42511;15278;10085;362;109;3294
Netherlands;NLD;1990;8840;1617;5666;5444;2320;2;506;90;1161;42;2001;36808;8847;2;42;278;0;4
New Zealand;NZL;1990;457;471;1234;1226;415;3;177;25;222;15;359;6198;472;1;23;123;0;4
Nicaragua;NIC;1990;242;285;254;606;212;1941;2265;2775;109;2171;205;806;2409;1476;680;24;110;852
Niger;NER;1990;1474;384;541;501;703;31565;14284;53079;41;22786;384;754;24216;24220;17292;16;558;6825
Nigeria;NGA;1990;23072;5313;8952;30680;6839;249780;131121;293766;665;164658;5852;14437;187153;184770;130240;1026;3042;52087
Niue;NIU;1990;0;1;1;1;1;0;0;0;0;1;1;3;2;0;0;0;0;0
North America (WB);;1990;110408;35613;112336;84305;46114;92;18103;3085;13935;461;26697;566060;110043;93;860;26578;11;211
North Korea;PRK;1990;8644;10290;2557;6380;2916;650;11878;9098;1671;30596;740;20301;38396;548;549;1146;27;872
North Macedonia;MKD;1990;1984;2147;948;975;334;84;481;200;172;1071;47;3635;3036;47;9;49;9;89
Northern Ireland;;1990;828;313;907;316;413;0;101;7;573;4;293;4093;831;0;15;45;0;1
Northern Mariana Islands;MNP;1990;6;4;5;7;3;1;4;2;0;5;3;28;11;0;0;3;0;0
Norway;NOR;1990;1705;845;2892;696;854;3;132;13;925;11;974;8153;1712;2;32;184;0;1
OECD Countries;;1990;534277;250007;417407;501045;163449;20926;120160;60524;114088;54308;100279;1917792;585053;12021;13446;60057;1238;11489
Oman;OMN;1990;694;72;523;27;79;91;847;248;308;654;108;771;1341;50;85;14;2;28
Pakistan;PAK;1990;33643;7946;21319;8089;12673;114648;199719;123799;8816;167808;12005;97483;197444;82088;38263;3840;1781;16093
Palau;PLW;1990;3;4;5;2;3;1;3;3;0;0;3;18;3;1;1;1;0;0
Palestine;PSE;1990;609;80;637;78;207;57;1536;286;217;672;265;1178;1272;39;79;11;2;33
Panama;PAN;1990;320;264;258;386;161;151;443;252;62;433;190;894;750;114;57;17;6;48
Papua New Guinea;PNG;1990;356;462;578;411;482;1966;2246;3793;111;6079;328;3221;6433;1508;1123;73;33;362
Paraguay;PRY;1990;395;390;408;892;128;601;1441;529;138;1718;300;2179;2109;393;376;22;25;205
Peru;PER;1990;6207;1733;2069;6005;1336;4626;10974;8391;1080;9497;1311;3554;15698;3128;3424;236;183;1930
